age,educational-num,capital-gain,capital-loss,hours-per-week,workclass
25,7,0,0,40,Private
38,9,0,0,50,Private
28,12,0,0,40,Local-gov
44,10,7688,0,40,Private
34,6,0,0,30,Private
63,15,3103,0,32,Self-emp-not-inc
24,10,0,0,40,Private
55,4,0,0,10,Private
65,9,6418,0,40,Private
36,13,0,0,40,Federal-gov
26,9,0,0,39,Private
48,9,3103,0,48,Private
43,14,0,0,50,Private
20,10,0,0,25,State-gov
43,9,0,0,30,Private
37,9,0,0,20,Private
34,13,0,0,47,Private
34,10,0,0,35,Private
25,13,0,0,43,Private
25,13,0,0,40,Private
45,9,7298,0,90,Self-emp-not-inc
22,9,0,0,20,Private
23,9,0,0,54,Private
54,9,0,0,35,Private
32,10,0,0,60,Self-emp-not-inc
46,10,7688,0,38,State-gov
56,7,0,0,50,Self-emp-not-inc
24,13,0,0,50,Self-emp-not-inc
23,10,0,0,40,Local-gov
26,9,0,0,40,Private
36,13,0,0,40,Local-gov
22,3,0,0,50,Private
17,6,0,0,40,Private
20,9,0,0,40,Private
65,14,0,0,50,Private
44,11,0,0,45,Self-emp-inc
36,9,0,0,40,Private
29,7,0,0,40,Private
20,10,0,0,32,State-gov
28,11,0,0,36,Private
39,4,0,0,40,Private
54,10,3908,0,50,Private
52,7,0,0,18,Private
56,9,0,0,50,Self-emp-inc
18,10,0,0,20,Private
39,9,0,0,40,Private
21,10,0,1721,24,Private
22,9,14084,0,60,Private
38,5,0,0,54,Private
21,10,0,0,40,Private
63,9,0,0,40,Private
34,13,3103,0,50,Local-gov
42,9,5178,0,50,Self-emp-inc
33,9,0,0,40,Private
30,13,0,0,50,Private
39,10,0,0,40,Private
26,14,0,0,40,Private
33,9,0,0,40,Private
47,9,0,0,40,Local-gov
41,12,15024,0,60,Self-emp-inc
19,10,0,0,20,Private
46,9,0,0,40,Private
43,9,0,0,48,Private
55,10,15024,0,45,Private
46,11,0,0,40,Private
30,9,0,0,40,Private
21,10,0,0,40,Private
46,10,0,0,40,Private
41,9,0,0,50,Private
69,9,0,0,30,Self-emp-inc
50,9,0,0,40,Private
20,10,0,0,40,Private
45,10,0,0,50,Self-emp-inc
23,13,0,0,40,Private
24,10,0,1876,40,Private
31,10,0,0,50,Self-emp-not-inc
43,9,0,0,44,Private
20,7,0,0,10,Federal-gov
55,9,0,0,56,Private
24,10,0,0,40,Federal-gov
59,13,0,0,25,Private
49,4,0,0,20,Federal-gov
33,14,5178,0,10,Private
59,13,0,0,40,Federal-gov
34,14,0,0,40,Private
20,9,0,0,40,Private
25,13,0,0,40,Private
49,6,0,0,40,Private
59,9,0,0,40,Private
20,9,0,0,40,Private
33,10,0,0,35,Private
22,10,0,0,39,Private
58,5,0,0,40,Self-emp-not-inc
52,9,0,0,28,Local-gov
36,6,0,0,40,Private
41,9,0,0,40,Local-gov
28,9,2597,0,40,Private
19,10,0,0,16,Private
18,9,0,0,28,Private
18,9,0,0,48,Private
28,10,0,0,40,Private
29,11,0,0,40,Private
40,10,0,0,40,Private
26,9,0,0,40,Private
46,9,0,0,40,Private
23,7,0,0,24,Private
44,9,0,0,40,Private
43,13,0,0,40,Private
31,13,0,0,60,Local-gov
18,10,0,0,25,Private
19,10,0,0,30,Private
41,10,0,0,40,Private
41,9,0,0,40,Private
69,9,0,0,25,Private
48,16,0,0,40,Federal-gov
28,9,0,0,40,Private
27,9,0,0,60,Self-emp-not-inc
41,14,0,2415,50,Private
41,10,0,0,40,Private
24,9,0,0,40,Private
42,16,0,0,41,Self-emp-inc
57,9,0,0,48,Private
30,12,0,0,40,Private
36,9,0,0,60,Private
49,4,0,0,40,Private
33,9,0,0,35,Private
23,6,0,0,40,Private
46,14,0,0,40,Private
18,10,0,0,22,Private
40,9,7688,0,55,Private
43,9,0,1887,45,Self-emp-inc
34,14,0,0,30,Private
47,9,0,0,30,Self-emp-not-inc
44,11,0,0,30,Private
33,9,0,0,40,Private
55,13,15024,0,50,Private
19,9,2907,0,30,Private
28,10,0,0,14,Private
27,7,0,0,32,Private
50,4,0,0,20,Private
22,7,0,0,40,Private
40,13,0,1887,45,State-gov
25,10,0,0,40,Private
26,9,0,0,40,Local-gov
22,13,0,0,25,Private
42,10,0,625,40,Private
38,13,0,0,40,Self-emp-inc
55,7,0,0,30,Private
32,9,0,0,40,Private
22,9,0,0,45,Private
29,13,0,0,40,Private
46,14,0,0,45,State-gov
31,10,0,0,40,Private
58,16,0,0,16,Self-emp-not-inc
42,9,0,0,45,Private
18,9,0,0,25,Private
58,9,0,0,33,Local-gov
54,9,0,1887,40,Private
34,14,0,0,40,Private
26,13,0,0,40,Private
61,8,0,0,60,Private
48,14,0,0,40,Local-gov
36,10,0,0,45,Private
24,11,0,0,45,Private
40,10,0,0,37,Private
33,9,0,0,50,Self-emp-inc
37,10,0,1887,40,Private
34,14,4650,0,40,Private
56,10,15024,0,40,Self-emp-inc
37,13,0,0,55,Private
44,9,0,0,40,Private
54,9,0,0,45,Private
23,9,0,0,50,Private
22,9,0,0,45,Private
33,13,0,1977,40,Private
39,13,0,0,50,Private
47,10,0,0,37,Private
26,9,0,0,55,Private
31,10,0,0,40,Private
44,10,0,0,45,Private
42,15,0,0,50,Self-emp-inc
19,9,0,0,40,Private
27,9,0,0,40,Private
51,10,0,0,40,Local-gov
28,13,0,0,50,Self-emp-inc
57,13,0,0,45,Private
45,13,0,0,40,Local-gov
50,11,0,0,40,Private
34,13,0,0,54,Self-emp-inc
45,4,0,0,40,Private
73,9,0,0,20,Local-gov
34,13,0,0,50,Private
31,10,0,0,55,Private
19,7,0,0,12,Private
25,10,0,0,50,Private
38,11,6497,0,40,Federal-gov
39,13,0,0,40,Private
23,13,0,0,32,Private
49,9,0,0,40,Private
33,9,0,0,32,Federal-gov
21,3,0,0,38,Private
31,11,0,0,40,Private
23,13,0,0,45,Private
34,13,0,0,40,Private
25,9,0,0,40,Private
39,9,0,0,40,Private
52,9,0,0,40,Self-emp-inc
63,5,7688,0,40,Local-gov
41,10,0,0,40,Private
46,13,15024,0,38,Private
53,9,0,0,40,Local-gov
18,8,0,0,40,Private
38,15,0,0,50,Private
55,14,0,0,50,Private
34,9,0,0,40,Private
80,9,0,0,30,Self-emp-not-inc
34,11,0,0,60,Private
52,10,5013,0,40,Private
42,9,0,0,28,Private
26,10,0,0,40,Private
31,9,0,0,40,Private
25,9,0,0,35,Local-gov
55,9,0,2057,60,Self-emp-not-inc
19,10,0,0,12,Private
62,10,0,0,32,Self-emp-not-inc
22,10,0,0,20,Federal-gov
35,9,0,0,40,Private
28,9,0,0,40,Private
47,9,0,0,70,Private
44,9,0,0,40,State-gov
21,10,0,0,15,Private
35,11,0,0,50,Private
24,13,0,0,40,Private
28,13,0,0,50,Private
21,10,0,0,35,Private
62,10,4650,0,40,Federal-gov
39,9,0,0,40,Private
30,9,0,0,40,State-gov
72,15,0,1429,20,Self-emp-not-inc
50,10,0,0,50,Private
28,14,0,0,40,Local-gov
29,10,0,0,40,Private
26,13,0,0,40,Private
27,14,0,0,40,Private
29,10,3103,0,40,Private
29,6,0,0,25,Private
31,7,0,0,20,Private
25,9,0,0,75,Private
58,6,0,0,40,Private
64,10,0,0,40,Private
46,14,0,0,38,State-gov
19,9,0,0,35,Private
42,9,0,0,52,Private
18,7,0,0,24,Private
58,13,15024,0,50,Self-emp-inc
20,10,0,0,60,Private
35,9,0,0,40,Federal-gov
32,9,0,0,38,Private
23,9,0,0,25,Private
31,10,0,0,40,Private
33,13,0,0,55,Private
41,10,0,0,48,Private
22,9,0,0,40,Private
46,10,0,0,40,Private
61,10,0,0,40,Federal-gov
30,9,0,0,40,Private
42,9,0,0,55,Private
63,6,0,0,40,Private
26,10,0,0,40,Private
42,6,0,0,40,Private
23,10,0,0,40,Private
25,9,0,1590,40,Private
30,5,0,0,32,Private
23,9,0,0,40,Private
34,11,27828,0,60,Self-emp-not-inc
30,9,0,2057,48,Private
39,10,0,0,40,Private
30,7,0,1721,38,Private
38,10,0,0,38,Local-gov
26,9,0,0,40,Private
20,10,0,0,16,Private
33,9,0,0,40,Private
24,13,0,0,40,Private
42,13,0,0,60,Self-emp-inc
51,9,3103,0,84,Self-emp-not-inc
56,12,0,0,45,Local-gov
22,10,0,0,40,Private
52,10,0,0,60,Self-emp-not-inc
44,13,4934,0,45,Private
34,9,4064,0,35,Private
51,10,0,0,42,Private
19,10,0,0,25,Private
37,13,0,0,40,Private
68,9,0,0,40,Private
22,10,0,0,40,Private
56,13,0,0,40,Self-emp-inc
37,9,0,0,40,Private
52,2,0,0,40,Private
26,9,0,0,40,Private
33,14,0,0,50,Private
45,14,0,0,42,Local-gov
18,7,0,0,15,Private
43,10,0,0,60,Self-emp-not-inc
18,9,0,0,20,Private
57,9,0,0,40,Private
41,9,3674,0,42,Private
34,14,0,1887,50,Private
19,9,0,0,40,Private
44,5,0,0,55,Private
56,6,0,0,40,Private
36,9,0,0,80,Self-emp-inc
48,13,0,0,48,Private
29,9,0,0,40,Private
33,13,2174,0,40,Private
31,3,0,0,40,Private
39,14,0,0,45,Private
66,9,10605,0,40,Private
27,13,0,0,50,Private
39,9,99999,0,40,Private
59,4,5178,0,50,Private
26,9,0,0,40,Private
31,11,0,0,40,Private
23,9,0,0,30,Private
36,9,0,0,40,Local-gov
34,10,0,0,12,Private
32,9,0,0,84,Private
37,13,0,0,50,Private
33,13,0,0,45,Private
50,15,99999,0,80,Self-emp-not-inc
32,12,0,0,40,Federal-gov
35,13,0,0,40,Private
37,7,0,0,40,Private
44,10,0,0,60,Private
57,10,0,0,25,Private
29,10,0,0,40,Local-gov
55,9,0,0,50,Private
43,15,0,0,25,Self-emp-inc
43,10,0,0,70,Private
45,10,0,0,60,Self-emp-not-inc
33,14,0,0,8,Self-emp-not-inc
26,6,0,0,40,Private
23,10,0,0,68,Private
41,4,0,0,40,Private
24,9,0,0,40,Private
47,13,0,0,44,Self-emp-not-inc
34,9,0,0,45,Self-emp-not-inc
40,9,0,0,40,Private
28,13,0,1485,40,Private
24,9,0,0,40,Private
23,9,0,0,15,Private
43,9,0,0,40,Self-emp-not-inc
26,13,0,0,40,Private
58,16,0,1485,35,Self-emp-not-inc
52,9,0,0,35,Private
29,7,0,0,99,Private
47,7,0,0,35,Private
49,9,0,0,37,Private
40,7,0,0,40,Private
62,9,0,0,40,Self-emp-not-inc
49,9,0,1977,55,Private
50,13,0,0,50,Private
31,9,0,0,40,Private
48,14,0,0,50,Local-gov
24,9,0,0,40,Private
37,9,0,0,60,Private
45,13,0,0,45,Private
36,14,0,0,45,Private
45,13,0,0,40,Private
41,13,0,0,40,Private
26,12,0,0,20,Private
17,7,0,0,25,Private
43,9,0,0,65,Private
35,9,0,0,55,Private
38,13,0,0,40,Private
26,9,0,0,40,Private
28,10,0,0,40,Private
38,13,0,0,24,Private
36,7,0,0,40,Private
33,9,0,0,40,Private
19,9,1055,0,70,Private
42,6,0,0,40,Federal-gov
50,6,0,0,40,Private
30,9,0,0,30,Private
37,10,0,0,40,State-gov
54,15,99999,0,40,Self-emp-inc
52,13,0,0,40,Self-emp-inc
33,9,0,0,40,Private
25,10,0,0,40,Private
24,13,0,0,45,Private
26,11,114,0,40,Private
39,9,0,0,40,Private
