age,educational-num,hours-per-week,workclass
25,7,40,Private
38,9,50,Private
28,12,40,Local-gov
44,10,40,Private
34,6,30,Private
63,15,32,Self-emp-not-inc
24,10,40,Private
55,4,10,Private
65,9,40,Private
36,13,40,Federal-gov
26,9,39,Private
48,9,48,Private
43,14,50,Private
20,10,25,State-gov
43,9,30,Private
37,9,20,Private
34,13,47,Private
34,10,35,Private
25,13,43,Private
25,13,40,Private
45,9,90,Self-emp-not-inc
22,9,20,Private
23,9,54,Private
54,9,35,Private
32,10,60,Self-emp-not-inc
46,10,38,State-gov
56,7,50,Self-emp-not-inc
24,13,50,Self-emp-not-inc
23,10,40,Local-gov
26,9,40,Private
36,13,40,Local-gov
22,3,50,Private
17,6,40,Private
20,9,40,Private
65,14,50,Private
44,11,45,Self-emp-inc
36,9,40,Private
29,7,40,Private
20,10,32,State-gov
28,11,36,Private
39,4,40,Private
54,10,50,Private
52,7,18,Private
56,9,50,Self-emp-inc
18,10,20,Private
39,9,40,Private
21,10,24,Private
22,9,60,Private
38,5,54,Private
21,10,40,Private
63,9,40,Private
34,13,50,Local-gov
42,9,50,Self-emp-inc
33,9,40,Private
30,13,50,Private
39,10,40,Private
26,14,40,Private
33,9,40,Private
47,9,40,Local-gov
41,12,60,Self-emp-inc
19,10,20,Private
46,9,40,Private
43,9,48,Private
55,10,45,Private
46,11,40,Private
30,9,40,Private
21,10,40,Private
46,10,40,Private
41,9,50,Private
69,9,30,Self-emp-inc
50,9,40,Private
20,10,40,Private
45,10,50,Self-emp-inc
23,13,40,Private
24,10,40,Private
31,10,50,Self-emp-not-inc
43,9,44,Private
20,7,10,Federal-gov
55,9,56,Private
24,10,40,Federal-gov
59,13,25,Private
49,4,20,Federal-gov
33,14,10,Private
59,13,40,Federal-gov
34,14,40,Private
20,9,40,Private
25,13,40,Private
49,6,40,Private
59,9,40,Private
20,9,40,Private
33,10,35,Private
22,10,39,Private
58,5,40,Self-emp-not-inc
52,9,28,Local-gov
36,6,40,Private
41,9,40,Local-gov
28,9,40,Private
19,10,16,Private
18,9,28,Private
18,9,48,Private
28,10,40,Private
29,11,40,Private
40,10,40,Private
26,9,40,Private
46,9,40,Private
23,7,24,Private
44,9,40,Private
43,13,40,Private
31,13,60,Local-gov
18,10,25,Private
19,10,30,Private
